"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty48195","Hansford County, TX",0.2625
"cty20183","Smith County, KS",0.2622
"cty08107","Routt County, CO",0.2616
"cty26161","Washtenaw County, MI",0.2614
"cty36007","Broome County, NY",0.2614
"cty18161","Union County, IN",0.2614
"cty38021","Dickey County, ND",0.2613
"cty38017","Cass County, ND",0.2611
"cty30091","Sheridan County, MT",0.2609
"cty19183","Washington County, IA",0.2608
"cty40007","Beaver County, OK",0.2607
"cty51003","Albemarle County, VA",0.2607
"cty20189","Stevens County, KS",0.2605
"cty01029","Cleburne County, AL",0.2604
"cty39043","Erie County, OH",0.2602
"cty49005","Cache County, UT",0.2601
"cty48313","Madison County, TX",0.2596
"cty20053","Ellsworth County, KS",0.2596
"cty42125","Washington County, PA",0.2595
"cty37189","Watauga County, NC",0.2593
"cty38103","Wells County, ND",0.259
"cty46059","Hand County, SD",0.2588
"cty29189","St. Louis County, MO",0.2587
"cty54061","Monongalia County, WV",0.2586
"cty42047","Elk County, PA",0.2584
"cty19043","Clayton County, IA",0.2581
"cty26043","Dickinson County, MI",0.258
"cty48501","Yoakum County, TX",0.2579
"cty56017","Hot Springs County, WY",0.2576
"cty09007","Middlesex County, CT",0.2575
"cty51081","Greensville County, VA",0.2575
"cty36093","Schenectady County, NY",0.2574
"cty19039","Clarke County, IA",0.2574
"cty46127","Union County, SD",0.2573
"cty08063","Kit Carson County, CO",0.2573
"cty33011","Hillsborough County, NH",0.257
"cty12011","Broward County, FL",0.2569
"cty27155","Traverse County, MN",0.2567
"cty20073","Greenwood County, KS",0.2561
"cty46051","Grant County, SD",0.256
"cty48019","Bandera County, TX",0.2557
"cty25019","Nantucket County, MA",0.2556
"cty48059","Callahan County, TX",0.2553
"cty23015","Lincoln County, ME",0.2552
"cty40059","Harper County, OK",0.2549
"cty19105","Jones County, IA",0.2548
"cty25027","Worcester County, MA",0.2545
"cty12085","Martin County, FL",0.2545
"cty54049","Marion County, WV",0.2544
"cty30105","Valley County, MT",0.2542
"cty22107","Tensas Parish, LA",0.254
"cty34029","Ocean County, NJ",0.2538
"cty37043","Clay County, NC",0.2536
"cty29035","Carter County, MO",0.2534
"cty50027","Windsor County, VT",0.2532
"cty16041","Franklin County, ID",0.2531
"cty12087","Monroe County, FL",0.253
"cty41015","Curry County, OR",0.2529
"cty08073","Lincoln County, CO",0.2529
"cty09005","Litchfield County, CT",0.2528
"cty48193","Hamilton County, TX",0.2524
"cty27083","Lyon County, MN",0.2524
"cty38069","Pierce County, ND",0.2524
"cty21171","Monroe County, KY",0.2523
"cty19165","Shelby County, IA",0.2521
"cty39099","Mahoning County, OH",0.2521
"cty20115","Marion County, KS",0.2521
"cty17067","Hancock County, IL",0.2515
"cty31129","Nuckolls County, NE",0.2514
"cty31019","Buffalo County, NE",0.2514
"cty17019","Champaign County, IL",0.2511
"cty09003","Hartford County, CT",0.2508
"cty21057","Cumberland County, KY",0.2508
"cty17109","McDonough County, IL",0.2507
"cty31121","Merrick County, NE",0.2497
"cty31175","Valley County, NE",0.2496
"cty19073","Greene County, IA",0.2494
"cty48369","Parmer County, TX",0.249
"cty08125","Yuma County, CO",0.2489
"cty38033","Golden Valley County, ND",0.2486
"cty56019","Johnson County, WY",0.2486
"cty19055","Delaware County, IA",0.2482
"cty08059","Jefferson County, CO",0.2481
"cty29183","St. Charles County, MO",0.2478
"cty55133","Waukesha County, WI",0.2478
"cty36069","Ontario County, NY",0.2477
"cty36091","Saratoga County, NY",0.2476
"cty20145","Pawnee County, KS",0.2474
"cty19045","Clinton County, IA",0.2471
"cty20195","Trego County, KS",0.2468
"cty28069","Kemper County, MS",0.2468
"cty20019","Chautauqua County, KS",0.2468
"cty19151","Pocahontas County, IA",0.2468
"cty38079","Rolette County, ND",0.2467
"cty28043","Grenada County, MS",0.2467
"cty46049","Faulk County, SD",0.2467
"cty51161","Roanoke County, VA",0.2465
"cty36113","Warren County, NY",0.2465
"cty36067","Onondaga County, NY",0.2463
"cty34009","Cape May County, NJ",0.2462
"cty36041","Hamilton County, NY",0.2462
"cty27081","Lincoln County, MN",0.2459
"cty29045","Clark County, MO",0.2459
"cty54073","Pleasants County, WV",0.2458
"cty53033","King County, WA",0.2456
"cty19143","Osceola County, IA",0.2455
"cty12086","Miami-Dade County, FL",0.2454
"cty37175","Transylvania County, NC",0.2451
"cty53031","Jefferson County, WA",0.2449
"cty16073","Owyhee County, ID",0.2449
"cty13109","Evans County, GA",0.2449
"cty27117","Pipestone County, MN",0.2445
"cty08067","La Plata County, CO",0.2443
"cty48127","Dimmit County, TX",0.2442
"cty34005","Burlington County, NJ",0.2441
"cty17171","Scott County, IL",0.2439
"cty17073","Henry County, IL",0.2439
"cty22025","Catahoula Parish, LA",0.2436
"cty34021","Mercer County, NJ",0.2436
"cty08005","Arapahoe County, CO",0.2435
"cty20169","Saline County, KS",0.2435
"cty20193","Thomas County, KS",0.2435
"cty27167","Wilkin County, MN",0.2435
"cty55037","Florence County, WI",0.2434
"cty54097","Upshur County, WV",0.2433
"cty29199","Scotland County, MO",0.2432
"cty23031","York County, ME",0.243
"cty31125","Nance County, NE",0.2429
"cty46125","Turner County, SD",0.2427
"cty20113","McPherson County, KS",0.2426
"cty17065","Hamilton County, IL",0.2424
"cty36065","Oneida County, NY",0.2423
"cty48427","Starr County, TX",0.242
"cty40149","Washita County, OK",0.242
"cty29103","Knox County, MO",0.242
"cty46091","Marshall County, SD",0.242
"cty17111","McHenry County, IL",0.242
"cty13059","Clarke County, GA",0.2418
